"","Year","directedfish_biomass","propmature_large","propmature_small","propmature_large_kg","propmature_small_kg","abundance_small","abundance_large","biomass_small","biomass_large","mature_abundance_small","mature_abundance_large","mature_biomass_small","mature_biomass_large","MarApr_ice","size_at_mat","lag1_mature_abundance_small","lag1_mature_abundance_large","lag1_mature_biomass_small","lag1_mature_biomass_large","lag3_MarApr_ice"
"11",1999,15.1,0.74468085106383,0.246621621621622,0.752563364350723,0.253975964008348,88.9956859382246,15.6531637217193,7.60271470541116,6.48610938367748,3.13324213334657,2.53817970964804,1.05605052794268,0.955363285674596,0.424637497451455,4.41670280100174,3.53250448578341,4.13919343687289,1.34264563235642,2.31396311032742,0.206128242172363
"12",2000,11.46,0.824742268041237,0.247226624405705,0.836437901964314,0.258548807690688,242.814325435162,8.1858168407255,19.9852948518257,3.39259996854067,4.11136826709479,2.0478462699161,1.78186012937637,0.609081119056894,0.300828313313238,4.44591910111299,3.13324213334657,2.53817970964804,1.05605052794268,0.955363285674596,0.369376366058546
"13",2001,14.8,0.696969696969697,0.250764525993884,0.709918638348748,0.250751525851244,412.917970441871,26.938949888357,36.0393111948121,11.1008287709724,4.64961931416792,2.98445045955912,2.30631620263081,1.3307007982626,0.208223489482625,4.47446486201379,4.11136826709479,2.0478462699161,1.78186012937637,0.609081119056894,0.326443595449698
"14",2002,12.84,0.642045454545455,0.31,0.658545114618805,0.329951143910512,107.458496344901,37.2537185584042,9.35798252061215,15.3026429693151,3.53549904866766,3.21561373665272,1.36122641458167,1.74812437590434,0.257791767713692,4.4975405015846,4.64961931416792,2.98445045955912,2.30631620263081,1.3307007982626,0.424637497451455
"15",2003,10.86,0.529182879377432,0.262857142857143,0.545211019821733,0.273015718028093,165.742538923778,32.7440838787938,13.924677370125,13.4356522679371,3.79698492912769,2.90840858904997,1.53905856066712,1.51108769325496,0.254867604774338,4.53503522721107,3.53549904866766,3.21561373665272,1.36122641458167,1.74812437590434,0.300828313313238
"16",2004,11.29,0.6484375,0.216867469879518,0.657417549549282,0.222066816691657,292.123547757147,16.8679342832006,25.6030857661107,7.03374452651418,4.16436948509465,2.47970993160494,1.87984305929247,0.926395656418306,0.292255503847594,4.42476683807476,3.79698492912769,2.90840858904997,1.53905856066712,1.51108769325496,0.208223489482625
"17",2005,16.77,0.806451612903226,0.278688524590164,0.814893592891288,0.284997806648712,585.432322212213,21.6714885904899,52.1645555988149,8.88826456364472,5.10080056531308,2.91652709031555,2.74326694982991,1.2461863433727,0.295081765056648,4.42010455570146,4.16436948509465,2.47970993160494,1.87984305929247,0.926395656418306,0.257791767713692
"18",2006,16.49,0.801801801801802,0.311881188118812,0.803436825594728,0.324659559297999,233.74398355289,16.6555846139347,20.6322669083165,6.86464977331776,4.30271758174664,2.66406193210421,2.0061738206211,1.14452693434236,0.321439152046427,4.4215531692812,5.10080056531308,2.91652709031555,2.74326694982991,1.2461863433727,0.254867604774338
"19",2007,28.6,0.757668711656442,0.39344262295082,0.770167812540729,0.407077169670907,307.54848834718,66.3794591847979,25.6158348648785,27.8441436026929,4.80404304399844,3.93756675464524,2.40499376950643,2.48115569816169,0.369639792521875,4.4385324696179,4.30271758174664,2.66406193210421,2.0061738206211,1.14452693434236,0.292255503847594
"20",2009,21.79,0.333333333333333,0.470588235294118,0.351176187071309,0.476833915526764,135.082317171951,48.5116768863467,11.4296550848243,19.9748185064624,4.16772124365037,2.84319622895815,1.85295823464551,2.34179759373634,0.416736079857363,4.58299147761666,4.80404304399844,3.93756675464524,2.40499376950643,2.48115569816169,0.295081765056648
"21",2010,24.62,NA,NA,NA,NA,317.138821524577,50.2915097417204,26.2471193307068,20.9518477301054,NA,NA,NA,NA,0.492027942839956,4.29924579319843,4.16772124365037,2.84319622895815,1.85295823464551,2.34179759373634,0.321439152046427
"22",2011,40.47,0.75,0.181818181818182,0.780564719731042,0.189506728438201,534.685278204733,37.1893797732377,45.7322924503187,15.4664840044883,4.58716409625842,3.36356594570941,2.23162195291215,1.33817707073433,0.30126263171884,4.47084273812208,NA,NA,NA,NA,0.369639792521875
"23",2013,24.56,NA,NA,NA,NA,193.87560454057,42.1670774352273,16.237421113025,17.5571224534438,NA,NA,NA,NA,0.464222494297785,4.38446361565178,4.58716409625842,3.36356594570941,2.23162195291215,1.33817707073433,0.416736079857363
"24",2015,18.49,0.787234042553192,0.333333333333333,0.80530451459481,0.349315895122237,177.94325558236,19.1251552044338,15.1571472932587,7.91280066653691,4.09957118837489,2.77608094520239,1.8004519847899,1.29132418460711,0.275006984013969,4.37716171398568,NA,NA,NA,NA,0.492027942839956
"25",2017,8.62,0.895384615384615,0.390957446808511,0.898643616271854,0.396300196696134,580.860867470219,20.2058488755182,48.041020105487,8.43104291786584,5.42974853767553,2.94926972514012,2.9847721584474,1.45772602605484,0.252877631439642,4.33618264691681,4.09957118837489,2.77608094520239,1.8004519847899,1.29132418460711,0.30126263171884
"26",2018,12.53,0.943396226415094,0.431159420289855,0.947225642143268,0.445316056588287,1712.65424581084,58.8015373527457,141.933646737149,24.2005274378958,6.60587557786225,4.03376527644232,4.13029115280044,2.43661633149759,0.0387203739408945,4.30012237998088,5.42974853767553,2.94926972514012,2.9847721584474,1.45772602605484,0.464222494297785
"27",2019,15.45,0.904977375565611,0.462068965517241,0.908589057371128,0.472876093099255,495.808040595848,79.4616090297967,44.024596103219,32.3872903043434,5.43850316870479,4.28923894867785,3.06069568466594,2.77040895620216,0.02344991990489,4.43109716623896,6.60587557786225,4.03376527644232,4.13029115280044,2.43661633149759,0.275006984013969
"28",2021,2.48,0.841614906832298,0.545454545454545,0.852293513735064,0.555049596383002,9.11016861977258,28.2980464059305,0.814390196064281,11.5472886362348,1.78661004760345,3.21149093111972,0.367564421726437,1.98767173506941,0.247556039642247,4.19552636593459,5.43850316870479,4.28923894867785,3.06069568466594,2.77040895620216,0.252877631439642
"29",2022,NA,0.81,0.328125,0.814614444710605,0.334058387097015,59.3280337659138,11.1570410286634,4.90494236661599,4.69851057292776,3.01881437432909,2.30629851302931,0.959133421607604,0.932832669184984,0.302351688312461,4.36785398362344,1.78661004760345,3.21149093111972,0.367564421726437,1.98767173506941,0.0387203739408945
"30",2023,NA,0.811475409836066,0.232323232323232,0.820563851318482,0.238700150282247,111.276083578414,7.60105732486882,9.15831875997644,3.18270075852212,3.29034102919584,1.96963659580832,1.14029478228135,0.553549038217869,0.286489684467117,4.42733727851193,3.01881437432909,2.30629851302931,0.959133421607604,0.932832669184984,0.02344991990489
"31",2024,NA,0.755102040816326,0.245967741935484,0.759833320602247,0.259682755056897,441.910975329046,11.1851773612482,37.4801809750546,4.6095383006514,4.69771148815168,2.24558610493148,2.32424046190084,0.757903362621574,0.326781518819815,4.40386829334006,3.29034102919584,1.96963659580832,1.14029478228135,0.553549038217869,0.247556039642247
